dam_name, timetsep, water_level
dam01,0,1200
dam02,0,600
dam03,0,892
dam01,1,1200
dam02,1,600
dam03,1,892
dam01,2,1200
dam02,2,600
dam03,2,892
dam01,3,1200
dam02,3,642
dam03,3,930
dam01,4,1200
dam02,4,642
dam03,4,930
dam01,5,1200
dam02,5,642
dam03,5,930
dam01,6,1267
dam02,6,600
dam03,6,894
dam01,7,1267
dam02,7,600
dam03,7,894
dam01,8,1267
dam02,8,600
dam03,8,894
dam01,9,1316
dam02,9,561
dam03,9,956
dam01,10,1316
dam02,10,561
dam03,10,956
dam01,11,1316
dam02,11,561
dam03,11,956
dam01,12,1200
dam02,12,637
dam03,12,921
dam01,13,1200
dam02,13,637
dam03,13,921
dam01,14,1200
dam02,14,637
dam03,14,921
dam01,15,1200
dam02,15,564
dam03,15,943
dam01,16,1200
dam02,16,564
dam03,16,943
dam01,17,1200
dam02,17,564
dam03,17,943
dam01,18,1200
dam02,18,600
dam03,18,997
dam01,19,1200
dam02,19,600
dam03,19,997
dam01,20,1200
dam02,20,600
dam03,20,997
dam01,21,1200
dam02,21,532
dam03,21,938
dam01,22,1200
dam02,22,532
dam03,22,938
dam01,23,1200
dam02,23,532
dam03,23,938
dam01,24,1200
dam02,24,600
dam03,24,1014
dam01,25,1200
dam02,25,600
dam03,25,1014
dam01,26,1200
dam02,26,600
dam03,26,1014
dam01,27,1200
dam02,27,641
dam03,27,961
dam01,28,1200
dam02,28,641
dam03,28,961
dam01,29,1200
dam02,29,641
dam03,29,961
dam01,30,1200
dam02,30,600
dam03,30,943
dam01,31,1200
dam02,31,600
dam03,31,943
dam01,32,1200
dam02,32,600
dam03,32,943
dam01,33,1200
dam02,33,561
dam03,33,884
dam01,34,1200
dam02,34,561
dam03,34,884
dam01,35,1200
dam02,35,561
dam03,35,884
dam01,36,1254
dam02,36,497
dam03,36,945
dam01,37,1254
dam02,37,497
dam03,37,945
dam01,38,1254
dam02,38,497
dam03,38,945
dam01,39,1285
dam02,39,515
dam03,39,881
dam01,40,1285
dam02,40,515
dam03,40,881
dam01,41,1285
dam02,41,515
dam03,41,881
dam01,42,1329
dam02,42,510
dam03,42,866
dam01,43,1329
dam02,43,510
dam03,43,866
dam01,44,1329
dam02,44,510
dam03,44,866
dam01,45,1273
dam02,45,525
dam03,45,800
dam01,46,1273
dam02,46,525
dam03,46,800
dam01,47,1273
dam02,47,525
dam03,47,800
dam01,48,1306
dam02,48,488
dam03,48,800
dam01,49,1306
dam02,49,488
dam03,49,800
dam01,50,1306
dam02,50,488
dam03,50,800
dam01,51,1316
dam02,51,500
dam03,51,800
dam01,52,1316
dam02,52,500
dam03,52,800
dam01,53,1316
dam02,53,500
dam03,53,800
